GR,NPHI,RHOB,RT,DEPTH
9.04,0.077,2.599,9.525,3198.2
9.933,0.071,2.609,9.488,3198.3
10.037,0.069,2.609,9.467,3198.4
8.748,0.068,2.606,9.511,3198.5
9.243,0.067,2.601,9.437,3198.6
10.262,0.066,2.598,9.525,3198.7
10.179,0.064,2.597,9.57,3198.8
9.569,0.064,2.597,9.451,3198.9
9.001,0.065,2.596,9.161,3199.0
7.858,0.068,2.594,9.028,3199.1
7.385,0.071,2.592,9.063,3199.2
7.948,0.071,2.591,8.991,3199.3
8.522,0.073,2.593,9.054,3199.4
8.955,0.073,2.598,8.967,3199.5
9.154,0.072,2.603,8.881,3199.6
9.556,0.072,2.607,8.794,3199.7
9.4,0.072,2.608,8.707,3199.8
9.171,0.073,2.607,8.495,3199.9
9.348,0.075,2.605,8.331,3200.0
9.362,0.077,2.602,8.289,3200.1
9.545,0.078,2.599,8.247,3200.2
11.153,0.079,2.594,8.206,3200.3
12.592,0.078,2.589,8.165,3200.4
12.644,0.075,2.587,8.401,3200.5
13.029,0.074,2.589,8.3,3200.6
13.167,0.074,2.594,8.298,3200.7
13.246,0.075,2.599,8.301,3200.8
13.015,0.076,2.603,8.126,3200.9
13.116,0.077,2.604,8.433,3201.0
13.837,0.077,2.601,8.626,3201.1
13.227,0.078,2.599,8.773,3201.2
13.795,0.079,2.598,8.856,3201.3
14.341,0.078,2.601,8.711,3201.4
14.353,0.08,2.604,8.126,3201.5
16.054,0.081,2.606,8.088,3201.6
18.135,0.081,2.604,8.129,3201.7
20.566,0.081,2.602,8.158,3201.8
20.735,0.079,2.602,8.309,3201.9
19.704,0.075,2.605,8.487,3202.0
17.959,0.069,2.608,8.657,3202.1
15.662,0.064,2.61,8.814,3202.2
13.52,0.06,2.612,9.057,3202.3
10.747,0.059,2.614,9.273,3202.4
9.619,0.059,2.617,9.17,3202.5
8.816,0.061,2.618,9.164,3202.6
8.262,0.064,2.616,9.222,3202.7
8.138,0.068,2.611,9.205,3202.8
8.138,0.07,2.604,9.183,3202.9
9.435,0.07,2.6,9.129,3203.0
10.003,0.069,2.598,9.005,3203.1
9.591,0.069,2.598,8.86,3203.2
9.745,0.068,2.599,8.725,3203.3
9.739,0.068,2.601,8.502,3203.4
9.561,0.068,2.604,8.604,3203.5
8.704,0.066,2.605,8.64,3203.6
7.853,0.064,2.604,8.609,3203.7
7.555,0.063,2.601,8.58,3203.8
6.956,0.062,2.599,8.43,3203.9
6.327,0.061,2.6,8.197,3204.0
6.508,0.061,2.603,8.215,3204.1
6.104,0.062,2.606,7.966,3204.2
6.422,0.066,2.608,7.92,3204.3
6.338,0.073,2.607,7.963,3204.4
5.787,0.079,2.603,8.097,3204.5
7.03,0.086,2.595,8.111,3204.6
9.208,0.092,2.588,7.122,3204.7
12.313,0.097,2.583,6.277,3204.8
15.883,0.101,2.58,5.794,3204.9
18.757,0.103,2.578,5.624,3205.0
20.085,0.102,2.578,5.994,3205.1
21.209,0.099,2.581,6.803,3205.2
23.076,0.093,2.588,6.991,3205.3
22.074,0.087,2.596,6.756,3205.4
19.757,0.081,2.604,5.785,3205.5
18.18,0.076,2.607,5.725,3205.6
15.8,0.071,2.608,5.659,3205.7
13.736,0.067,2.606,6.532,3205.8
11.588,0.064,2.602,6.4,3205.9
9.156,0.064,2.598,7.015,3206.0
9.458,0.065,2.597,7.877,3206.1
12.29,0.065,2.598,7.668,3206.2
12.98,0.068,2.6,7.661,3206.3
12.994,0.072,2.601,7.624,3206.4
14.464,0.075,2.601,7.646,3206.5
16.012,0.077,2.6,7.593,3206.6
15.904,0.079,2.599,7.693,3206.7
16.774,0.08,2.597,7.695,3206.8
17.483,0.081,2.595,7.574,3206.9
17.805,0.082,2.592,7.578,3207.0
18.792,0.085,2.59,7.28,3207.1
20.633,0.089,2.589,7.121,3207.2
21.248,0.094,2.585,7.296,3207.3
21.914,0.098,2.579,7.791,3207.4
22.648,0.1,2.572,7.85,3207.5
21.772,0.098,2.567,7.394,3207.6
19.932,0.095,2.564,6.747,3207.7
16.897,0.09,2.566,6.75,3207.8
14.429,0.085,2.57,6.708,3207.9
12.924,0.081,2.575,6.855,3208.0
11.15,0.078,2.58,6.852,3208.1
10.463,0.077,2.583,6.849,3208.2
9.681,0.076,2.582,6.847,3208.3
9.188,0.077,2.577,6.844,3208.4
9.518,0.077,2.572,6.82,3208.5
9.607,0.078,2.569,6.761,3208.6
10.562,0.08,2.568,6.734,3208.7
11.023,0.082,2.568,6.5,3208.8
12.27,0.087,2.569,6.378,3208.9
15.415,0.096,2.57,6.486,3209.0
19.398,0.106,2.571,6.541,3209.1
22.834,0.116,2.571,6.449,3209.2
28.976,0.122,2.57,6.169,3209.3
33.25,0.124,2.571,5.497,3209.4
34.376,0.118,2.572,4.803,3209.5
32.219,0.108,2.573,4.368,3209.6
29.045,0.092,2.574,4.34,3209.7
24.28,0.078,2.578,5.091,3209.8
19.088,0.068,2.585,6.276,3209.9
15.069,0.063,2.594,7.81,3210.0
11.435,0.061,2.599,8.975,3210.1
9.972,0.062,2.599,8.911,3210.2
10.513,0.066,2.593,8.631,3210.3
11.012,0.072,2.587,8.229,3210.4
13.071,0.078,2.583,8.096,3210.5
15.142,0.082,2.583,8.149,3210.6
17.285,0.084,2.585,8.056,3210.7
19.193,0.084,2.589,8.093,3210.8
19.611,0.082,2.594,7.924,3210.9
19.419,0.08,2.598,7.612,3211.0
18.907,0.077,2.598,7.387,3211.1
16.956,0.076,2.595,7.387,3211.2
15.142,0.075,2.59,7.644,3211.3
12.993,0.075,2.586,7.395,3211.4
12.828,0.076,2.586,7.31,3211.5
12.839,0.077,2.587,7.42,3211.6
12.727,0.079,2.588,7.069,3211.7
13.689,0.083,2.585,6.943,3211.8
15.37,0.086,2.58,6.773,3211.9
17.298,0.091,2.576,6.64,3212.0
18.375,0.094,2.573,6.329,3212.1
18.877,0.096,2.572,6.486,3212.2
20.887,0.099,2.572,6.548,3212.3
21.295,0.099,2.572,6.316,3212.4
20.45,0.096,2.572,5.592,3212.5
18.827,0.092,2.576,5.592,3212.6
17.492,0.084,2.581,5.727,3212.7
15.835,0.078,2.588,6.137,3212.8
13.393,0.071,2.593,7.032,3212.9
10.844,0.066,2.597,7.812,3213.0
9.829,0.063,2.599,7.848,3213.1
8.481,0.063,2.6,7.592,3213.2
8.32,0.063,2.599,7.216,3213.3
8.144,0.065,2.597,7.538,3213.4
7.75,0.066,2.594,7.68,3213.5
9.245,0.068,2.594,7.596,3213.6
10.402,0.072,2.594,7.656,3213.7
11.325,0.076,2.594,7.411,3213.8
12.784,0.08,2.593,7.633,3213.9
15.203,0.083,2.59,7.703,3214.0
18.554,0.086,2.587,7.579,3214.1
20.025,0.085,2.587,7.048,3214.2
18.616,0.083,2.591,6.499,3214.3
18.263,0.08,2.596,6.329,3214.4
16.943,0.078,2.6,6.594,3214.5
14.187,0.075,2.601,7.284,3214.6
13.145,0.073,2.6,7.516,3214.7
12.699,0.073,2.6,7.305,3214.8
13.402,0.073,2.602,7.302,3214.9
14.33,0.074,2.604,7.244,3215.0
13.41,0.075,2.605,7.256,3215.1
12.703,0.076,2.603,7.083,3215.2
13.429,0.077,2.601,6.957,3215.3
13.971,0.076,2.601,6.894,3215.4
12.822,0.075,2.602,6.774,3215.5
11.305,0.074,2.603,6.633,3215.6
9.215,0.073,2.604,6.512,3215.7
8.436,0.071,2.604,6.413,3215.8
7.152,0.068,2.602,6.465,3215.9
5.712,0.064,2.599,6.42,3216.0
4.514,0.065,2.595,6.335,3216.1
4.229,0.066,2.592,6.129,3216.2
3.942,0.066,2.59,6.096,3216.3
3.41,0.067,2.591,6.086,3216.4
3.09,0.069,2.592,6.071,3216.5
3.538,0.07,2.591,6.109,3216.6
3.457,0.072,2.587,5.994,3216.7
3.5,0.073,2.582,5.75,3216.8
3.23,0.073,2.578,5.932,3216.9
2.994,0.072,2.578,5.609,3217.0
3.249,0.072,2.581,5.852,3217.1
3.125,0.071,2.585,5.871,3217.2
2.687,0.071,2.59,5.964,3217.3
3.049,0.07,2.594,6.09,3217.4
3.198,0.067,2.598,6.152,3217.5
3.535,0.064,2.603,6.374,3217.6
3.39,0.062,2.607,6.501,3217.7
3.608,0.061,2.61,6.701,3217.8
3.53,0.06,2.614,6.891,3217.9
3.987,0.06,2.618,6.985,3218.0
4.422,0.06,2.621,7.135,3218.1
4.772,0.06,2.622,7.152,3218.2
5.293,0.06,2.622,7.374,3218.3
5.68,0.06,2.623,7.426,3218.4
6.344,0.061,2.626,7.707,3218.5
7.634,0.062,2.629,7.688,3218.6
9.156,0.064,2.631,7.685,3218.7
10.329,0.066,2.631,7.71,3218.8
11.956,0.069,2.63,7.782,3218.9
14.064,0.073,2.629,7.861,3219.0
16.685,0.076,2.629,7.938,3219.1
19.071,0.078,2.63,7.979,3219.2
21.345,0.078,2.632,7.798,3219.3
22.362,0.076,2.633,7.557,3219.4
21.808,0.075,2.634,7.528,3219.5
22.705,0.074,2.634,7.515,3219.6
21.473,0.075,2.634,7.399,3219.7
20.72,0.076,2.636,7.419,3219.8
20.503,0.078,2.64,7.422,3219.9
21.013,0.08,2.644,7.355,3220.0
21.247,0.081,2.643,6.976,3220.1
21.77,0.084,2.635,6.399,3220.2
21.749,0.089,2.625,5.885,3220.3
21.268,0.095,2.618,5.701,3220.4
22.94,0.102,2.613,5.62,3220.5
24.754,0.106,2.609,5.462,3220.6
26.27,0.108,2.605,5.145,3220.7
27.048,0.106,2.602,4.527,3220.8
27.39,0.107,2.597,3.959,3220.9
25.981,0.105,2.593,3.676,3221.0
24.958,0.103,2.589,3.882,3221.1
24.808,0.101,2.587,3.748,3221.2
23.722,0.097,2.585,3.847,3221.3
24.141,0.099,2.585,3.901,3221.4
24.702,0.098,2.587,4.152,3221.5
24.013,0.097,2.588,4.21,3221.6
22.477,0.095,2.59,4.075,3221.7
22.344,0.094,2.59,4.09,3221.8
21.043,0.093,2.589,4.17,3221.9
22.287,0.093,2.589,4.233,3222.0
23.09,0.094,2.59,4.187,3222.1
22.302,0.095,2.592,4.254,3222.2
22.305,0.096,2.593,4.297,3222.3
21.942,0.096,2.592,4.322,3222.4
22.159,0.096,2.593,4.287,3222.5
22.367,0.095,2.594,4.226,3222.6
