DT,GR,NPHI,RHOB,RT,DEPTH
,,,,,145.9
,,,,,146.0
,,,,,146.1
,,,,,146.2
,,,,,146.3
,,,,,146.4
,,,,,146.5
,,,,,146.6
,,,,,146.7
,,,,,146.8
,,,,,146.9
,,,,,147.0
,,,,,147.1
,,,,,147.2
,,,,,147.3
,,,,,147.4
,,,,,147.5
,,,,,147.6
,,,,,147.7
,,,,,147.8
,,,,,147.9
,,,,,148.0
,,,,,148.1
,,,,,148.2
,,,,,148.3
,,,,,148.4
,,,,,148.5
,,,,,148.6
,,,,,148.7
,,,,,148.8
,,,,,148.9
,,,,,149.0
,,,,,149.1
,,,,,149.2
,,,,,149.3
,,,,,149.4
,,,,,149.5
,,,,,149.6
,,,,,149.7
,,,,,149.8
,,,,,149.9
,,,,,150.0
,,,,,150.1
,,,,,150.2
,,,,,150.3
,,,,,150.4
,,,,,150.5
,,,,,150.6
,,,,,150.7
,,,,,150.8
,,,,,150.9
,,,,,151.0
,,,,,151.1
,,,,,151.2
,,,,,151.3
,,,,,151.4
,,,,,151.5
,,,,,151.6
,,,,,151.7
,,,,,151.8
,,,,,151.9
,,,,,152.0
,,,,,152.1
,,,,,152.2
,,,,,152.3
,,,,,152.4
,,,,,152.5
,,,,,152.6
,,,,,152.7
,,,,,152.8
,,,,,152.9
,,,,,153.0
,,,,,153.1
,,,,,153.2
,,,,,153.3
,,,,,153.4
,,,,,153.5
,,,,,153.6
,,,,,153.7
,,,,,153.8
,,,,,153.9
,,,,,154.0
,,,,,154.1
,,,,,154.2
,,,,,154.3
,,,,,154.4
,,,,,154.5
,,,,,154.6
,,,,,154.7
,,,,,154.8
,,,,,154.9
,,,,,155.0
,,,,,155.1
,,,,,155.2
,,,,,155.3
,,,,,155.4
,,,,,155.5
,,,,,155.6
,,,,,155.7
,,,,,155.8
,,,,,155.9
,,,,,156.0
,,,,,156.1
,,,,,156.2
,,,,,156.3
,,,,,156.4
,,,,,156.5
,,,,,156.6
,,,,,156.7
,,,,,156.8
,,,,,156.9
,,,,,157.0
,,,,,157.1
,,,,,157.2
,,,,,157.3
,,,,,157.4
,,,,,157.5
,,,,,157.6
,,,,,157.7
,,,,,157.8
,,,,,157.9
,,,,,158.0
,,,,,158.1
,,,,,158.2
,,,,,158.3
,,,,,158.4
,,,,,158.5
,,,,,158.6
,,,,,158.7
,,,,,158.8
,,,,,158.9
,,,,,159.0
,,,,,159.1
,,,,,159.2
,,,,,159.3
,,,,,159.4
,,,,,159.5
,,,,,159.6
,,,,,159.7
,,,,,159.8
,,,,,159.9
,,,,,160.0
,,,,,160.1
,,,,,160.2
,,,,,160.3
,,,,,160.4
,,,,,160.5
,,,,,160.6
,,,,,160.7
,,,,,160.8
,,,,,160.9
,,,,,161.0
,,,,,161.1
,,,,,161.2
,,,,,161.3
,,,,,161.4
,,,,,161.5
,,,,,161.6
,,,,,161.7
,,,,,161.8
,,,,,161.9
,,,,,162.0
,,,,,162.1
,,,,,162.2
,,,,,162.3
,,,,,162.4
,,,,,162.5
,,,,,162.6
,,,,,162.7
,,,,,162.8
,,,,,162.9
,,,,,163.0
,,,,,163.1
,,,,,163.2
,,,,,163.3
,,,,,163.4
,,,,,163.5
,,,,,163.6
,,,,,163.7
,,,,,163.8
,,,,,163.9
,,,,,164.0
,,,,,164.1
,,,,,164.2
,,,,,164.3
,,,,,164.4
,,,,,164.5
,,,,,164.6
,,,,,164.7
,,,,,164.8
,,,,,164.9
,,,,,165.0
,,,,,165.1
,,,,,165.2
,,,,,165.3
,,,,,165.4
,,,,,165.5
,,,,,165.6
,,,,,165.7
,,,,,165.8
,,,,,165.9
,,,,,166.0
,,,,,166.1
,,,,,166.2
,,,,,166.3
,,,,,166.4
,,,,,166.5
,,,,,166.6
,,,,,166.7
,,,,,166.8
,,,,,166.9
,,,,,167.0
,,,,,167.1
,,,,,167.2
,,,,,167.3
,,,,,167.4
,,,,,167.5
,,,,,167.6
,,,,,167.7
,,,,,167.8
,,,,,167.9
,,,,,168.0
,,,,,168.1
,,,,,168.2
,,,,,168.3
,,,,,168.4
,,,,,168.5
,,,,,168.6
,,,,,168.7
,,,,,168.8
,,,,,168.9
,,,,,169.0
,,,,,169.1
,,,,,169.2
,,,,,169.3
,,,,,169.4
,,,,,169.5
,,,,,169.6
,,,,,169.7
,,,,,169.8
,,,,,169.9
,,,,,170.0
,,,,,170.1
,,,,,170.2
,,,,,170.3
,,,,,170.4
,,,,,170.5
,,,,,170.6
,,,,,170.7
,,,,,170.8
,,,,,170.9
,,,,,171.0
,,,,,171.1
,,,,,171.2
,,,,,171.3
,,,,,171.4
,,,,,171.5
,,,,,171.6
,,,,,171.7
,,,,,171.8
,,,,,171.9
,,,,,172.0
,,,,,172.1
,,,,,172.2
,,,,,172.3
,,,,,172.4
,,,,,172.5
,,,,,172.6
,,,,,172.7
,,,,,172.8
,,,,,172.9
,,,,,173.0
,,,,,173.1
,,,,,173.2
,,,,,173.3
,,,,,173.4
,,,,,173.5
,,,,,173.6
,,,,,173.7
,,,,,173.8
,,,,,173.9
,,,,,174.0
,,,,,174.1
,,,,,174.2
,,,,,174.3
,,,,,174.4
,,,,,174.5
,,,,,174.6
,,,,,174.7
,,,,,174.8
,,,,,174.9
,,,,,175.0
,,,,,175.1
,,,,,175.2
,,,,,175.3
,,,,,175.4
,,,,,175.5
,,,,,175.6
,,,,,175.7
,,,,,175.8
,,,,,175.9
,,,,,176.0
,,,,,176.1
,,,,,176.2
,,,,,176.3
,,,,,176.4
,,,,,176.5
,,,,,176.6
,,,,,176.7
,,,,,176.8
,,,,,176.9
,,,,,177.0
,,,,,177.1
,,,,,177.2
,,,,,177.3
,,,,,177.4
,,,,,177.5
,,,,,177.6
,,,,,177.7
,,,,,177.8
,,,,,177.9
,,,,,178.0
,,,,,178.1
,,,,,178.2
,,,,,178.3
,,,,,178.4
,,,,,178.5
,,,,,178.6
,,,,,178.7
,,,,,178.8
,,,,,178.9
,,,,,179.0
,,,,,179.1
,,,,,179.2
,,,,,179.3
,,,,,179.4
,,,,,179.5
,,,,,179.6
,,,,,179.7
,,,,,179.8
,,,,,179.9
,,,,,180.0
