DEPTH,DT,GR,NPHI,RHOB,RT,DEPTH
2577.0,109.385,74.697,0.403,2.347,0.751,2577.0
2577.1,110.132,72.797,0.399,2.357,0.798,2577.1
2577.2,110.843,71.629,0.39,2.36,0.75,2577.2
2577.3,111.01,69.899,0.385,2.361,0.719,2577.3
2577.4,110.797,69.041,0.382,2.363,0.693,2577.4
2577.5,110.053,70.135,0.385,2.364,0.711,2577.5
2577.6,108.81,72.009,0.372,2.363,0.699,2577.6
2577.7,107.26,72.315,0.347,2.363,0.696,2577.7
2577.8,106.38,65.947,0.317,2.366,0.84,2577.8
2577.9,105.081,61.051,0.295,2.37,1.067,2577.9
2578.0,103.452,56.121,0.28,2.375,1.238,2578.0
2578.1,103.758,53.822,0.274,2.381,1.343,2578.1
2578.2,103.968,54.245,0.279,2.386,1.561,2578.2
2578.3,104.077,56.558,0.305,2.386,1.796,2578.3
2578.4,105.942,59.205,0.344,2.376,1.417,2578.4
2578.5,107.291,68.224,0.392,2.357,1.001,2578.5
2578.6,107.911,74.286,0.436,2.337,0.794,2578.6
2578.7,108.167,79.991,0.467,2.321,0.721,2578.7
2578.8,108.126,82.843,0.475,2.309,0.655,2578.8
2578.9,107.677,80.635,0.468,2.297,0.577,2578.9
2579.0,107.583,78.147,0.451,2.289,0.536,2579.0
2579.1,107.207,74.469,0.432,2.286,0.512,2579.1
2579.2,106.196,71.823,0.411,2.287,0.532,2579.2
2579.3,104.946,68.51,0.39,2.291,0.54,2579.3
2579.4,103.517,63.697,0.373,2.295,0.607,2579.4
2579.5,101.79,60.984,0.36,2.297,0.698,2579.5
2579.6,100.625,59.559,0.353,2.298,0.708,2579.6
2579.7,99.581,60.281,0.349,2.299,0.721,2579.7
2579.8,98.405,61.81,0.347,2.298,0.731,2579.8
2579.9,97.365,62.827,0.344,2.298,0.714,2579.9
2580.0,96.475,61.229,0.336,2.299,0.705,2580.0
2580.1,95.978,56.786,0.318,2.304,0.774,2580.1
2580.2,96.387,52.98,0.291,2.315,0.982,2580.2
2580.3,97.225,49.839,0.27,2.334,1.213,2580.3
2580.4,98.055,46.676,0.264,2.36,1.486,2580.4
2580.5,98.846,48.426,0.281,2.386,1.636,2580.5
2580.6,99.652,53.772,0.315,2.402,1.619,2580.6
2580.7,100.778,55.938,0.357,2.404,1.43,2580.7
2580.8,102.782,57.966,0.394,2.394,1.15,2580.8
2580.9,105.451,61.399,0.42,2.378,0.945,2580.9
2581.0,108.668,64.106,0.429,2.36,0.84,2581.0
2581.1,111.235,64.695,0.418,2.342,0.659,2581.1
2581.2,113.215,63.66,0.394,2.326,0.574,2581.2
2581.3,113.393,61.737,0.366,2.313,0.655,2581.3
2581.4,113.012,57.728,0.354,2.306,0.771,2581.4
2581.5,112.043,56.684,0.355,2.307,0.877,2581.5
2581.6,111.186,58.475,0.361,2.314,0.898,2581.6
2581.7,110.56,60.571,0.364,2.328,0.799,2581.7
2581.8,110.226,59.956,0.363,2.343,0.712,2581.8
2581.9,110.072,62.364,0.361,2.356,0.71,2581.9
2582.0,109.814,64.078,0.361,2.364,0.739,2582.0
2582.1,109.368,65.024,0.358,2.363,0.739,2582.1
2582.2,108.376,65.383,0.352,2.356,0.708,2582.2
2582.3,107.286,60.014,0.341,2.343,0.751,2582.3
2582.4,106.169,57.329,0.333,2.33,0.789,2582.4
2582.5,105.546,53.38,0.33,2.321,0.787,2582.5
2582.6,105.256,53.025,0.332,2.318,0.784,2582.6
2582.7,105.498,53.268,0.336,2.319,0.772,2582.7
2582.8,106.226,54.005,0.342,2.323,0.765,2582.8
2582.9,107.067,55.186,0.352,2.326,0.781,2582.9
2583.0,107.81,57.015,0.364,2.325,0.772,2583.0
2583.1,108.231,58.923,0.37,2.321,0.705,2583.1
2583.2,108.428,57.322,0.367,2.312,0.654,2583.2
2583.3,108.222,53.054,0.35,2.298,0.611,2583.3
2583.4,107.547,48.613,0.329,2.282,0.553,2583.4
2583.5,106.76,43.197,0.309,2.265,0.506,2583.5
2583.6,106.63,39.274,0.295,2.248,0.496,2583.6
