DEPTH,DT,GR,NPHI,RHOB,RT,DEPTH
1368.7044,152.749801,120.349998,0.44870001,1.72119998,1.1466,1368.7044
1368.8568,151.107299,122.3581,0.42359998,1.72730004,1.11240005,1368.8568
1369.0092,153.146392,119.6072,0.39359998,1.7256,1.02620005,1369.0092
1369.1616,151.787597,122.000503,0.45579999,1.74119997,0.92150002,1369.1616
1369.314,150.264892,121.560302,0.4363,1.75380003,0.89590001,1369.314
1369.4664,149.669998,121.560302,0.493,1.77470004,0.89590001,1369.4664
1369.6188,148.460403,121.367797,0.4535,1.76419997,0.89590001,1369.6188
1369.7712,145.468902,121.175201,0.4472,1.74749994,0.88590002,1369.7712
1369.9236,146.367202,120.982696,0.40369999,1.70990002,0.88590002,1369.9236
1370.076,144.778793,122.193099,0.39899998,1.69229996,0.88590002,1370.076
1370.2284,148.945404,125.769203,0.50779998,1.69509994,0.88590002,1370.2284
1370.3808,149.7583,130.363098,0.4871,1.72080004,0.89130002,1370.3808
1370.5332,151.868103,127.612197,0.5647,1.717,0.98610001,1370.5332
1370.6856,145.955902,120.927696,0.71359997,1.67239999,0.97399997,1370.6856
1370.838,143.287399,110.474403,0.90890002,1.62329995,0.9483,1370.838
1370.9904,142.185897,111.189598,0.80690002,1.59619998,0.85629999,1370.9904
1371.1428,143.262893,113.747901,0.46810001,1.58679997,0.86699998,1371.1428
1371.2952,141.159896,118.616897,0.54079997,1.56819999,0.81779998,1371.2952
1371.4476,140.048599,117.901702,0.62300002,1.54429996,0.89770001,1371.4476
1371.6,140.773101,117.901702,0.64209997,1.54700005,1.20280003,1371.6
1371.7524,139.573303,117.984298,0.6128,1.58060002,0.8409,1371.7524
1371.9048,137.096405,120.625099,0.55629998,1.64219999,0.95709997,1371.9048
1372.0572,143.405303,120.267501,0.6387,1.71329998,0.9666,1372.0572
1372.2096,146.798294,122.825798,0.5521,1.75960004,0.912,1372.2096
1372.362,146.842498,124.476303,0.50999999,1.74240005,0.99150002,1372.362
1372.5144,148.573303,126.759498,0.5331,1.69500005,0.94569998,1372.5144
1372.6668,149.868301,124.201202,0.4544,1.64779996,0.88029998,1372.6668
1372.8192,148.960205,123.926101,0.52189999,1.6171,0.9156,1372.8192
1372.9716,150.156906,124.393798,0.5126,1.61129999,0.97589999,1372.9716
1373.124,145.380599,128.4375,0.4812,1.62090003,0.90479999,1373.124
1373.2764,142.920196,124.971397,0.4307,1.65559995,0.90839999,1373.2764
1373.4288,142.577606,124.503799,0.43619999,1.69910001,0.92419999,1373.4288
1373.5812,143.852905,122.578201,0.4582,1.74310004,0.92449998,1373.5812
1373.7336,142.239898,126.154296,0.42230001,1.72959995,0.9627,1373.7336
1373.886,145.468902,130.005493,0.43200001,1.70669996,0.981,1373.886
1374.0384,146.440902,131.546005,0.46619999,1.70420002,0.97820001,1374.0384
1374.1908,147.552307,128.795104,0.40839999,1.75300002,0.95209997,1374.1908
1374.3432,146.896499,122.275596,0.36939999,1.79089999,0.94739997,1374.3432
1374.4956,150.504394,122.275596,0.4104,1.79219996,0.92309999,1374.4956
1374.648,144.303604,124.366302,0.4871,1.76619994,0.92070001,1374.648
1374.8004,145.013397,125.109001,0.57719999,1.74779999,0.93589997,1374.8004
1374.9528,143.277603,122.3581,0.55830001,1.72889995,0.96219998,1374.9528
1375.1052,141.818695,120.515098,0.42410001,1.70000004,0.94819998,1375.1052
1375.2576,143.728302,123.183403,0.44789999,1.64810001,0.94319999,1375.2576
1375.41,144.7444,127.859802,0.61299997,1.60259997,0.94410002,1375.41
1375.5624,147.463897,133.389099,0.64170002,1.58420002,1.01699995,1375.5624
1375.7148,143.243194,136.772598,0.5345,1.58029997,1.02540004,1375.7148
1375.8672,140.469802,136.057403,0.39770001,1.57749998,1.04040002,1375.8672
1376.0196,142.587402,140.816406,0.55279999,1.58089995,1.02939999,1376.0196
1376.172,144.328094,137.625396,0.50069999,1.5848,1.02079999,1376.172
1376.3244,146.024597,136.497497,0.58329999,1.59189999,1.02880001,1376.3244
1376.4768,146.000106,132.3712,0.58999997,1.59039998,1.0338,1376.4768
1376.6292,145.037902,133.279006,0.6272,1.58369994,1.02750003,1376.6292
1376.7816,144.382202,136.304901,0.54000002,1.58080005,1.02760004,1376.7816
1376.934,148.083404,131.518402,0.5054,1.56700003,1.00820004,1376.934
1377.0864,145.414901,132.261199,0.60399997,1.55610001,1.00049996,1377.0864
1377.2388,144.283905,128.520004,0.60399997,1.54379999,1.01590001,1377.2388
1377.3912,144.328094,126.319297,0.58710002,1.53480005,0.98760002,1377.3912
1377.5436,146.000106,126.1268,0.5356,1.53499996,0.94559997,1377.5436
1377.696,145.057601,123.651,0.60549998,1.5331,0.90799999,1377.696
1377.8484,145.047805,125.9617,0.49849998,1.54540002,0.91949999,1377.8484
1378.0008,144.690399,122.578201,0.50260001,1.55649995,0.9149,1378.0008
1378.1532,145.351104,126.429397,0.42309999,1.56729996,0.92839998,1378.1532
1378.3056,141.818695,121.477798,0.53909999,1.57109999,0.93830001,1378.3056
1378.458,143.772506,120.267501,0.54140001,1.56459999,0.96189999,1378.458
1378.6104,146.465499,116.333702,0.61229997,1.57079994,1.03429996,1378.6104
1378.7628,148.514404,120.542503,0.53320002,1.5762,1.00870001,1378.7628
1378.9152,147.552307,125.411598,0.55299997,1.59080004,1.07070004,1378.9152
1379.0676,146.754104,127.859802,0.60839998,1.59720003,1.07070004,1379.0676
1379.22,145.101806,124.366203,0.54860001,1.59440004,1.02030003,1379.22
1379.3724,146.808105,119.689796,0.4968,1.59940004,1.00129997,1379.3724
1379.5248,147.175292,116.938903,0.50410002,1.59430003,0.9652,1379.5248
1379.6772,146.852294,124.008598,0.50340002,1.6071,1.39390003,1379.6772
1379.8296,148.925796,127.859802,0.55150002,1.61119997,1.02919995,1379.8296
1379.982,148.807907,136.029907,0.5126,1.60609996,0.8524,1379.982
1380.1344,144.274093,136.497497,0.4959,1.59370005,0.9627,1380.1344
1380.2868,143.916793,134.379302,0.52759999,1.60029995,1.00230002,1380.2868
1380.4392,144.626602,132.646301,0.51590001,1.62759995,0.90579998,1380.4392
1380.5916,142.939895,126.952003,0.5938,1.63039994,0.88239997,1380.5916
1380.744,143.385604,125.219001,0.5514,1.6272,0.89420002,1380.744
1380.8964,146.108093,121.835403,0.5471,1.6279,0.90820002,1380.8964
1381.0488,149.312606,122.853302,0.53219997,1.64769995,1.02279996,1381.0488
1381.2012,149.278198,124.228698,0.51300001,1.6552,1.04709994,1381.2012
1381.3536,147.801605,125.219001,0.52139997,1.64680004,1.01279997,1381.3536
1381.506,141.745101,126.869499,0.49439999,1.63259994,1.05649995,1381.506
1381.6584,140.881103,128.244903,0.4605,1.62320005,1.03600001,1381.6584
1381.8108,143.951095,125.494102,0.4722,1.62100005,1.06500005,1381.8108
1381.9632,146.142501,123.3759,0.53079998,1.6308,1.04200005,1381.9632
1382.1156,150.568298,120.074897,0.54559999,1.65289998,0.98949998,1382.1156
1382.268,146.744293,121.917999,0.4979,1.70710003,0.81489998,1382.268
1382.4204,144.616699,126.952003,0.43189999,1.75709998,1.09539997,1382.4204
1382.5728,142.543197,127.777297,0.47319999,1.76180005,0.94340002,1382.5728
1382.7252,142.734802,126.209297,0.44299998,1.72940003,0.94029998,1382.7252
