DEPTH,DT,GR,NPHI,RHOB,RT,DEPTH
2577.0,109.385,74.7,0.403,2.347,0.751,2577.0
2577.1,110.133,72.799,0.399,2.357,0.798,2577.1
2577.2,110.843,71.631,0.39,2.36,0.75,2577.2
2577.3,111.01,69.9,0.385,2.361,0.719,2577.3
2577.4,110.797,69.04,0.382,2.363,0.693,2577.4
2577.5,110.052,70.133,0.385,2.364,0.711,2577.5
2577.6,108.809,72.008,0.372,2.363,0.699,2577.6
2577.7,107.259,72.324,0.347,2.363,0.696,2577.7
2577.8,106.379,65.954,0.317,2.366,0.839,2577.8
2577.9,105.08,61.058,0.295,2.37,1.067,2577.9
2578.0,103.452,56.124,0.28,2.375,1.238,2578.0
2578.1,103.759,53.822,0.274,2.381,1.343,2578.1
2578.2,103.968,54.241,0.279,2.386,1.561,2578.2
2578.3,104.079,56.554,0.305,2.386,1.796,2578.3
2578.4,105.944,59.192,0.344,2.376,1.418,2578.4
2578.5,107.292,68.216,0.392,2.357,1.001,2578.5
2578.6,107.911,74.277,0.436,2.337,0.794,2578.6
2578.7,108.167,79.987,0.467,2.321,0.721,2578.7
2578.8,108.126,82.846,0.475,2.309,0.655,2578.8
2578.9,107.677,80.638,0.468,2.297,0.577,2578.9
2579.0,107.583,78.152,0.451,2.289,0.536,2579.0
2579.1,107.206,74.473,0.432,2.286,0.512,2579.1
2579.2,106.195,71.828,0.411,2.287,0.532,2579.2
2579.3,104.945,68.517,0.39,2.291,0.54,2579.3
2579.4,103.515,63.701,0.373,2.295,0.607,2579.4
2579.5,101.788,60.986,0.36,2.297,0.698,2579.5
2579.6,100.624,59.558,0.353,2.298,0.708,2579.6
2579.7,99.58,60.278,0.349,2.299,0.721,2579.7
2579.8,98.404,61.809,0.347,2.298,0.731,2579.8
2579.9,97.364,62.829,0.344,2.298,0.714,2579.9
2580.0,96.475,61.236,0.336,2.299,0.705,2580.0
2580.1,95.979,56.792,0.318,2.304,0.774,2580.1
2580.2,96.388,52.984,0.291,2.315,0.982,2580.2
2580.3,97.225,49.843,0.27,2.334,1.213,2580.3
2580.4,98.056,46.674,0.264,2.36,1.486,2580.4
2580.5,98.847,48.418,0.281,2.386,1.636,2580.5
2580.6,99.653,53.769,0.316,2.402,1.62,2580.6
2580.7,100.78,55.935,0.357,2.404,1.431,2580.7
2580.8,102.785,57.961,0.394,2.394,1.15,2580.8
2580.9,105.454,61.395,0.42,2.378,0.946,2580.9
2581.0,108.67,64.105,0.429,2.36,0.84,2581.0
2581.1,111.237,64.696,0.418,2.342,0.659,2581.1
2581.2,113.215,63.662,0.394,2.326,0.573,2581.2
2581.3,113.392,61.743,0.366,2.313,0.654,2581.3
2581.4,113.011,57.729,0.354,2.306,0.77,2581.4
2581.5,112.043,56.681,0.355,2.307,0.877,2581.5
2581.6,111.185,58.472,0.361,2.314,0.898,2581.6
2581.7,110.56,60.572,0.364,2.328,0.799,2581.7
2581.8,110.226,59.953,0.363,2.343,0.712,2581.8
2581.9,110.072,62.361,0.361,2.356,0.71,2581.9
2582.0,109.814,64.077,0.361,2.364,0.739,2582.0
2582.1,109.367,65.024,0.358,2.363,0.739,2582.1
2582.2,108.375,65.391,0.352,2.356,0.708,2582.2
2582.3,107.285,60.018,0.341,2.343,0.751,2582.3
2582.4,106.168,57.335,0.333,2.33,0.789,2582.4
2582.5,105.546,53.38,0.33,2.321,0.787,2582.5
2582.6,105.256,53.025,0.332,2.318,0.784,2582.6
2582.7,105.498,53.267,0.336,2.319,0.772,2582.7
2582.8,106.227,54.003,0.342,2.323,0.765,2582.8
2582.9,107.068,55.183,0.352,2.326,0.781,2582.9
2583.0,107.81,57.012,0.364,2.325,0.772,2583.0
2583.1,108.231,58.925,0.37,2.321,0.705,2583.1
2583.2,108.428,57.329,0.367,2.312,0.654,2583.2
2583.3,108.222,53.06,0.35,2.298,0.611,2583.3
2583.4,107.546,48.621,0.329,2.282,0.553,2583.4
2583.5,106.76,43.203,0.309,2.265,0.506,2583.5
2583.6,106.629,39.276,0.295,2.248,0.496,2583.6
2583.7,106.249,38.032,0.293,2.234,0.473,2583.7
2583.8,105.703,35.79,0.302,2.221,0.449,2583.8
2583.9,105.005,36.259,0.324,2.214,0.417,2583.9
2584.0,103.902,43.526,0.355,2.217,0.452,2584.0
2584.1,102.674,55.694,0.384,2.234,0.509,2584.1
2584.2,104.331,59.044,0.4,2.26,0.569,2584.2
2584.3,105.653,61.343,0.395,2.286,0.607,2584.3
2584.4,106.672,63.255,0.379,2.305,0.633,2584.4
2584.5,107.012,63.709,0.368,2.318,0.698,2584.5
2584.6,106.851,62.131,0.36,2.327,0.738,2584.6
2584.7,106.157,60.379,0.361,2.335,0.749,2584.7
2584.8,105.596,62.975,0.373,2.343,0.753,2584.8
2584.9,105.428,65.572,0.386,2.35,0.727,2584.9
2585.0,105.763,69.124,0.397,2.354,0.696,2585.0
2585.1,104.528,68.214,0.4,2.354,0.687,2585.1
2585.2,103.048,65.935,0.397,2.351,0.7,2585.2
2585.3,101.424,64.639,0.389,2.344,0.739,2585.3
2585.4,97.219,63.085,0.378,2.336,0.719,2585.4
2585.5,93.123,60.648,0.361,2.33,0.731,2585.5
2585.6,90.049,58.011,0.339,2.327,0.745,2585.6
2585.7,88.221,55.285,0.316,2.327,0.739,2585.7
2585.8,87.479,53.068,0.3,2.328,0.717,2585.8
2585.9,88.69,55.537,0.298,2.326,0.751,2585.9
2586.0,90.093,58.729,0.309,2.322,0.77,2586.0
2586.1,91.471,65.172,0.327,2.319,0.722,2586.1
2586.2,92.587,68.267,0.344,2.319,0.733,2586.2
2586.3,92.886,69.868,0.352,2.32,0.737,2586.3
2586.4,92.891,67.689,0.349,2.321,0.752,2586.4
2586.5,93.006,62.948,0.338,2.317,0.75,2586.5
2586.6,91.955,56.482,0.327,2.311,0.722,2586.6
2586.7,90.284,52.583,0.32,2.303,0.655,2586.7
2586.8,88.354,49.349,0.315,2.294,0.587,2586.8
2586.9,85.514,46.778,0.308,2.283,0.588,2586.9
2587.0,82.375,44.321,0.299,2.271,0.546,2587.0
2587.1,81.54,43.007,0.288,2.261,0.522,2587.1
2587.2,80.432,40.759,0.278,2.252,0.534,2587.2
2587.3,79.169,36.573,0.268,2.245,0.516,2587.3
2587.4,78.784,32.57,0.262,2.238,0.474,2587.4
2587.5,78.93,30.749,0.254,2.232,0.441,2587.5
2587.6,79.554,30.248,0.248,2.229,0.436,2587.6
2587.7,80.766,29.228,0.246,2.229,0.452,2587.7
2587.8,81.785,29.114,0.245,2.231,0.443,2587.8
2587.9,82.597,29.535,0.242,2.234,0.419,2587.9
2588.0,84.143,28.769,0.236,2.238,0.398,2588.0
2588.1,85.2,27.15,0.231,2.243,0.396,2588.1
2588.2,85.562,25.967,0.224,2.248,0.409,2588.2
2588.3,85.595,26.434,0.223,2.252,0.429,2588.3
2588.4,85.366,26.75,0.218,2.253,0.448,2588.4
2588.5,84.768,25.623,0.214,2.255,0.45,2588.5
2588.6,84.563,25.035,0.213,2.258,0.455,2588.6
