DEPTH,GR,NPHI,RHOB,RT,DEPTH
3301.9,31.0836,0.1414,2.5488,3.2576,3301.9
3302.0,31.0642,0.1399,2.5457,3.2349,3302.0
3302.1,30.9,0.1435,2.5426,3.1926,3302.1
3302.2,31.1237,0.1434,2.5412,3.1554,3302.2
3302.3,31.9943,0.1432,2.5417,3.0989,3302.3
3302.4,32.7938,0.1437,2.5423,3.0634,3302.4
3302.5,33.0093,0.142,2.5412,3.0806,3302.5
3302.6,33.2549,0.1466,2.5392,3.1075,3302.6
3302.7,33.4237,0.1438,2.5376,3.1138,3302.7
3302.8,33.7167,0.1425,2.5372,3.0944,3302.8
3302.9,34.7967,0.1404,2.5385,3.1285,3302.9
3303.0,35.3246,0.1413,2.5405,3.1767,3303.0
3303.1,33.9289,0.1393,2.5421,3.1844,3303.1
3303.2,32.5235,0.1372,2.5421,3.174,3303.2
3303.3,31.6967,0.1349,2.5407,3.1736,3303.3
3303.4,31.6809,0.1327,2.5387,3.2245,3303.4
3303.5,30.7385,0.1344,2.5372,3.3042,3303.5
3303.6,29.5729,0.1298,2.5373,3.3772,3303.6
3303.7,29.4848,0.1292,2.5384,3.4024,3303.7
3303.8,29.563,0.1289,2.5395,3.4411,3303.8
3303.9,29.503,0.1292,2.5389,3.4749,3303.9
3304.0,29.1557,0.1301,2.5373,3.4657,3304.0
3304.1,29.1273,0.1319,2.5358,3.4505,3304.1
3304.2,29.4345,0.1343,2.5355,3.4346,3304.2
3304.3,29.6907,0.1366,2.5363,3.4227,3304.3
3304.4,29.9806,0.1384,2.5367,3.4408,3304.4
3304.5,30.4815,0.1394,2.5371,3.4759,3304.5
3304.6,31.2461,0.1404,2.5384,3.4779,3304.6
3304.7,31.6701,0.1419,2.5409,3.4738,3304.7
3304.8,31.8775,0.1436,2.543,3.479,3304.8
3304.9,32.7598,0.1441,2.5432,3.4934,3304.9
3305.0,33.8808,0.1398,2.5417,3.4941,3305.0
3305.1,35.1215,0.1414,2.5402,3.4939,3305.1
3305.2,36.4982,0.1412,2.5405,3.5414,3305.2
3305.3,37.1929,0.1422,2.5422,3.5685,3305.3
3305.4,36.946,0.1437,2.5436,3.5335,3305.4
3305.5,37.0844,0.1447,2.5433,3.4911,3305.5
3305.6,37.1664,0.1455,2.5411,3.4513,3305.6
3305.7,36.8875,0.1462,2.5381,3.4301,3305.7
3305.8,36.6711,0.1472,2.5357,3.4316,3305.8
3305.9,36.5063,0.1454,2.5342,3.4326,3305.9
3306.0,36.2813,0.1465,2.533,3.3992,3306.0
3306.1,35.7997,0.1465,2.5313,3.3312,3306.1
3306.2,35.0895,0.148,2.5302,3.2373,3306.2
3306.3,34.5548,0.1453,2.5312,3.1474,3306.3
3306.4,34.9294,0.1425,2.5339,3.0942,3306.4
3306.5,35.8199,0.1409,2.5359,3.1483,3306.5
3306.6,36.5297,0.1419,2.5357,3.3257,3306.6
3306.7,37.3883,0.1454,2.5341,3.4054,3306.7
3306.8,38.5004,0.1473,2.5319,3.331,3306.8
3306.9,39.7166,0.1522,2.5295,3.1432,3306.9
3307.0,40.4449,0.1555,2.5269,3.0313,3307.0
3307.1,40.8297,0.1568,2.5247,3.0446,3307.1
3307.2,41.3032,0.1569,2.5242,3.1477,3307.2
3307.3,41.3095,0.1573,2.5249,3.2527,3307.3
3307.4,40.8793,0.1587,2.5254,3.3161,3307.4
3307.5,40.5656,0.1605,2.5256,3.3182,3307.5
3307.6,40.3074,0.162,2.5265,3.3072,3307.6
3307.7,40.3876,0.1625,2.529,3.3102,3307.7
3307.8,41.0616,0.1631,2.5319,3.3475,3307.8
3307.9,41.5619,0.1639,2.5345,3.4104,3307.9
3308.0,41.9909,0.1645,2.5376,3.4878,3308.0
3308.1,43.024,0.1635,2.5415,3.5523,3308.1
3308.2,43.1038,0.1606,2.5443,3.6207,3308.2
3308.3,41.4366,0.1569,2.5447,3.7103,3308.3
3308.4,39.4176,0.153,2.543,3.821,3308.4
3308.5,37.2322,0.1496,2.5424,3.9189,3308.5
3308.6,34.8151,0.1461,2.5453,4.0224,3308.6
3308.7,31.974,0.1412,2.5504,4.2168,3308.7
3308.8,29.6249,0.1344,2.5552,4.4111,3308.8
3308.9,28.0017,0.1252,2.5577,4.5292,3308.9
3309.0,25.3204,0.1148,2.5586,4.6316,3309.0
3309.1,22.5009,0.1083,2.5602,4.692,3309.1
3309.2,20.4298,0.099,2.564,4.6974,3309.2
3309.3,18.2909,0.0963,2.5702,4.7137,3309.3
3309.4,16.8646,0.0983,2.5783,4.7405,3309.4
3309.5,16.6832,0.0969,2.5876,4.7867,3309.5
3309.6,16.0178,0.0944,2.5962,4.8708,3309.6
3309.7,15.4035,0.0913,2.6015,4.9584,3309.7
3309.8,15.5463,0.0854,2.6039,5.0043,3309.8
3309.9,15.6981,0.0863,2.604,5.0572,3309.9
3310.0,15.8731,0.0849,2.6032,5.0958,3310.0
3310.1,16.0808,0.0842,2.6023,5.0971,3310.1
3310.2,16.057,0.0841,2.6024,5.1141,3310.2
3310.3,15.7426,0.0846,2.603,5.1504,3310.3
3310.4,15.3549,0.0856,2.6025,5.1878,3310.4
