DEPTH,DT,GR,NPHI,RHOB,RT,DEPTH
2616.8,99.8262,79.8456,0.3023,2.4445,0.5524,2616.8
2616.9,99.9305,79.6564,0.3483,2.4468,0.5399,2616.9
2617.0,100.1234,78.1091,0.4028,2.4213,0.5376,2617.0
2617.1,100.2931,76.7843,0.4428,2.3815,0.5353,2617.1
2617.2,100.3768,73.6875,0.4643,2.3464,0.5362,2617.2
2617.3,100.3044,68.1653,0.4709,2.3273,0.5381,2617.3
2617.4,99.936,62.9897,0.4761,2.3235,0.5495,2617.4
2617.5,99.4008,58.2373,0.4724,2.328,0.5965,2617.5
2617.6,98.6239,53.087,0.4544,2.3331,0.6462,2617.6
2617.7,97.598,53.0052,0.4211,2.3352,0.698,2617.7
2617.8,96.3773,51.5744,0.3888,2.3338,0.7192,2617.8
2617.9,94.7912,50.9829,0.3643,2.3287,0.6915,2617.9
2618.0,93.0824,50.2741,0.3449,2.3183,0.6506,2618.0
2618.1,91.5045,49.872,0.3298,2.3001,0.6007,2618.1
2618.2,90.6239,48.7837,0.3188,2.2768,0.5386,2618.2
2618.3,90.6975,49.1155,0.3129,2.2539,0.5058,2618.3
2618.4,91.3562,48.4443,0.3132,2.2376,0.5011,2618.4
2618.5,92.7363,47.5523,0.3157,2.2321,0.528,2618.5
2618.6,94.0159,48.5512,0.315,2.2366,0.5805,2618.6
2618.7,95.0821,48.933,0.3092,2.2485,0.6302,2618.7
2618.8,94.8609,48.4502,0.3025,2.2625,0.6551,2618.8
2618.9,93.7638,48.0316,0.2991,2.2752,0.656,2618.9
2619.0,91.9662,48.1797,0.3001,2.2849,0.6485,2619.0
2619.1,89.0201,50.3305,0.3024,2.2922,0.6427,2619.1
2619.2,85.8219,50.738,0.3017,2.2982,0.6611,2619.2
2619.3,82.4052,52.2605,0.2926,2.306,0.7115,2619.3
2619.4,79.0675,54.2209,0.2747,2.3211,0.8591,2619.4
2619.5,76.2637,53.4194,0.2514,2.3502,1.1008,2619.5
2619.6,74.0252,50.9108,0.2282,2.3938,1.4007,2619.6
2619.7,73.0801,48.7443,0.2182,2.4448,1.5767,2619.7
2619.8,72.818,48.4867,0.2229,2.49,1.6294,2619.8
2619.9,73.3666,49.9116,0.2333,2.5158,1.6552,2619.9
2620.0,74.8788,50.2899,0.2479,2.5199,1.5555,2620.0
2620.1,76.8032,51.2663,0.2613,2.5033,1.442,2620.1
2620.2,79.23,54.5097,0.2776,2.4735,1.2796,2620.2
2620.3,81.826,54.8418,0.2814,2.4374,1.1654,2620.3
2620.4,84.3242,52.7658,0.2701,2.3991,1.022,2620.4
2620.5,86.5841,47.5078,0.2582,2.3666,0.8278,2620.5
2620.6,88.3349,35.4076,0.2464,2.3535,0.6983,2620.6
2620.7,89.8026,27.166,0.2438,2.3719,0.6001,2620.7
2620.8,90.8632,24.5887,0.2504,2.4117,0.4878,2620.8
2620.9,91.6366,24.8673,0.2602,2.4357,0.368,2620.9
2621.0,92.3045,24.8087,0.2664,2.4052,0.3225,2621.0
2621.1,92.9116,25.5584,0.2688,2.3292,0.3228,2621.1
2621.2,93.4723,25.1587,0.2704,2.2478,0.329,2621.2
2621.3,94.0473,25.7953,0.2725,2.1963,0.3324,2621.3
